Date,Point
2021-12-01,104.8738
2021-12-02,107.4413
2021-12-03,101.2166
2021-12-06,101.0713
2021-12-07,107.0727
2021-12-08,109.2243
2021-12-09,105.3154
2021-12-10,104.6475
2021-12-13,103.7166
2021-12-14,100.2443
2021-12-15,103.1851
2021-12-16,98.3041
2021-12-17,100.7506
2021-12-20,99.6507
2021-12-21,104.2543
2021-12-22,104.6939
2021-12-23,104.8994
2021-12-27,105.6857
2021-12-28,103.8091
2021-12-29,103.588
2021-12-30,104.3022
2021-12-31,103.1637
2022-01-03,100.5353
2022-01-04,96.4126
2022-01-05,90.2229
2022-01-06,90.4838
2022-01-07,89.3826
2022-01-10,90.7415
2022-01-11,92.6253
2022-01-12,91.546
2022-01-13,85.8931
2022-01-14,85.6015
2022-01-18,83.2805
2022-01-19,83.3711
2022-01-20,83.0086
2022-01-21,80.0645
2022-01-24,83.0602
2022-01-25,78.8337
2022-01-26,77.7218
2022-01-27,77.3313
2022-01-28,81.311
2022-01-31,86.4218
2022-02-01,87.4863
2022-02-02,84.7431
2022-02-03,80.7977
2022-02-04,84.6741
2022-02-07,85.059
2022-02-08,86.7319
2022-02-09,90.3781
2022-02-10,89.8585
2022-02-11,86.0011
2022-02-14,86.0498
2022-02-15,88.393
2022-02-16,86.5963
2022-02-17,81.1435
2022-02-18,78.4557
2022-02-22,77.5389
2022-02-23,73.8071
2022-02-24,79.567
2022-02-25,79.669
2022-02-28,81.0171
2022-03-01,80.6603
